"국가",2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"국가",에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타
"룩셈부르크",10622.27,664.92,647.14,106.15,-,10429.02,634,635.83,105.33,-,9910.11,616.71,648.82,105.67,-,9388.48,626.98,662.81,107.17,-,8921.33,618.12,672.49,101.94,-,8642.75,640.37,694.07,100.63,-,8810.43,649.71,699.07,100.53,-,9116.11,647.37,701.26,98.54,-,9292.38,663.77,690.87,92.98,-,7616.71,620.53,702.97,89.68,-,8039.18,565.94,697.35,88.26,-
"몰타",2591.68,167.87,82.53,118.97,-,2723.82,197.34,84.23,120.88,-,2378.84,216.16,84.47,119.67,-,2364.03,224.25,84.5,134.43,-,1664.24,230.49,84.66,149.77,-,1356.32,243.63,85.57,161.44,-,1533.34,250.58,84.79,159.67,-,1548.59,237.9,83.57,167.75,-,1652.15,227,86.41,184.35,-,1599.6,232.21,89.27,190.78,-,1609.14,235.83,87.71,200.94,-
"모나코",77.12,8.3,-,0.88,-,80.21,7.9,-,1.03,-,81.11,8.96,-,1.06,-,76.21,7.84,-,1.14,-,78.74,8.33,-,1.14,-,77.25,8.07,-,1.1,-,75.48,6.73,-,1.13,-,77.42,8.09,-,1.15,-,73.88,8.23,-,0.9,-,63.12,6.08,-,0.56,-,67.24,6,-,0.4,-
"네덜란드",166508.39,10102.21,17898.84,5413.48,-,163054.43,9675,17704.18,5148.14,-,162117.06,10047.38,18204.71,4908.87,-,154506.28,9524.2,18370.13,4652.97,-,161055.18,9543.62,18998.12,4418.98,-,162057.34,9068.02,19262.57,4256.56,-,159003.07,9686.76,19270.67,4030.66,-,154701.23,9453.47,18671.48,3933.46,-,149356.88,9327.65,18446.62,3805.73,-,133802.55,8574.08,18370.39,3620.77,-,137397.22,8271.08,17974.7,3510.23,-
"노르웨이",38410.66,9024.2,4452.73,2111.56,-,37972.6,8951.58,4471.45,1985.04,-,38042.65,9087.16,4522.96,1962.31,-,38288.83,9083.53,4594.14,1940.19,-,38749.93,9098.18,4662.19,1852.53,-,37898.25,9038.99,4719.28,1790.51,-,37233.07,9023.45,4695.15,1727.15,-,37261.61,9080.59,4673.39,1687.38,-,35690.77,9064.05,4630.87,1572.53,-,34023.36,9001.34,4648.56,1541.37,-,33741.14,9014.56,4701.71,1444.55,-
"폴란드",340815.26,25634.54,31989.59,7359.36,-,334726.44,24631.25,31826.63,6716.42,-,331295.54,23623.32,32464.68,6498,-,317593.86,25102.81,32364.07,6003.98,-,321729.78,24351.84,31705.48,5608.23,-,332453.13,24551.53,32067.1,5243.51,-,345196.89,25068.73,33359.59,5377.97,-,344374.23,25563.41,33688.37,5377.94,-,323527.89,25081.19,32595.16,5182.12,-,307991.99,24516.29,34051.67,4752.48,-,336170.52,24557.99,34035.26,4674.72,-
"포르투갈",48152.46,6731.89,6768.83,6404.99,-,46679.15,6422.79,6793.96,6180.91,-,44527.8,6885.35,6757.3,5986.3,-,43943.52,7361.63,6890.14,5846.47,-,48365.3,7412.42,6911.36,5489.57,-,47201.28,6848.74,6954.21,5347.71,-,51759.75,7272.73,7067.6,5303.92,-,48464.51,6914.39,7148.64,5237.45,-,44373.35,7271.12,7248.62,5222.43,-,38529.55,7213.02,7271.89,5014.89,-,36961.23,7132.1,7258.18,5007.9,-
"루마니아",94322.64,14400.67,18159.6,5988.16,-,93452.1,13087.03,17933.31,6220.87,-,82343.59,11365.24,18508.49,6504.35,-,80950.16,12094.67,18688.57,6481.42,-,79562.43,12137.99,18925.02,6474.38,-,77743.89,12236.89,18829.94,6499.45,-,80478.7,12368.57,18964.97,6546.42,-,80545.64,12664.68,19525.42,6501.07,-,77370.89,12593.74,19243.1,6555.02,-,73800.78,12686.9,19010.69,6537.66,-,76909.92,12794.86,19169.3,6529.07,-
"러시아",1687264.78,207761.59,108071.43,72960.4,-,1694531.45,223948.11,107099.41,75367.55,-,1625241.2,229158.83,109566.79,77838.38,-,1617055.4,229994.2,109447.17,81146.55,-,1611299.3,228047.79,110545.43,83442.44,-,1606095.31,228167.02,114254.25,85451.79,-,1636983.53,242965.69,115168.65,87526.46,-,1688677.37,252270,114800.55,89493.46,-,1682326.41,246342.45,116449.89,91399.2,-,1594101.61,254393.52,118805.28,94061.48,-,1679103.65,259516.02,121284.74,96694.93,-
"슬로바키아",31591.63,8941.52,2514.02,1792.73,-,29310.5,8885.02,2429.13,1826.72,-,29126.56,8613.85,2565.2,1825.62,-,26776.81,8829.68,2698.26,1835.45,-,27420.46,9029.86,2516.87,1902.38,-,27584.34,9244.45,2636.22,1853.66,-,28515.88,9524.85,2492.06,1886.5,-,28353.47,9506.64,2512.48,1903.84,-,26910.32,8638.8,2529.01,1877.59,-,24666.84,8082.04,2531.75,1907.25,-,27417.42,9493.81,2430.57,1884.7,-
"슬로베니아",16372.48,997.36,1740.61,605.56,-,15745.91,1023.62,1724.58,589.02,-,15015.12,1090.76,1709.19,566.93,-,13308.01,1127.97,1756.01,534.13,-,13462.6,1107.87,1799.5,542.49,-,14315.7,1114.4,1822.17,537.76,-,14386.53,1171.85,1787.84,524.21,-,14222.85,1195.05,1787.58,483.65,-,13718.38,1204.55,1807.85,474.04,-,12561.83,1148.84,1812.99,451.12,-,12753.1,1111.14,1813.47,428.77,-
"스페인",268251.06,36350.02,32688.33,17342.74,-,264220.07,34743.05,31623.81,16922.33,-,238976.79,33614.93,31338.11,16522.5,-,238675.21,35454.42,32621.16,15186.64,-,254039.62,30117.65,33236.25,16229.9,-,242950.51,29649.12,33305.31,15744.75,-,257749.99,27410.21,34084.83,15458.5,-,252420.47,27009.26,33971.41,15503.95,-,235842.98,25341.78,33898.36,14731.05,-,200019.57,22939.34,34674.95,14610.5,-,216048.45,24126.53,34369.39,14303.44,-
"스웨덴",43585.38,7695.42,6707.49,2023.98,-,41259.92,7357.02,6613.48,1878.13,-,39658.98,7383.98,6672.86,1757.73,-,38087.65,7274.77,6753.67,1613.32,-,38068.74,7227.29,6767.5,1493.7,-,37546.42,7772.33,6739.91,1409.58,-,36831.25,7526.96,6856.93,1347.52,-,36635.31,7211.45,6672.22,1265.19,-,34921.81,7839.98,6698.81,1146.65,-,31962.96,6377.51,6796.75,1076.81,-,33174.94,6976,6673.59,992.17,-
