"국가별",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"스웨덴",-,-,71478.3,71587.8,71252.6,71468.1,73940.3,73326.2,77239.0,72345.7,72734.2,69602.8,68349.1,69128.5,69735.2,70071.5,69410.3,66540.9,66183.7,65034.9,62628.0,58395.3,64375.7,60012.3,57108.6,55473.6,53729.4,53557.2,53468.3,52562.7,51784.2,50607.2,46214.0,47816.7
"핀란드",-,-,71087.8,69041.5,67681.5,69915.2,75492.4,71743.6,77729.6,76409.3,72727.2,72048.0,70136.6,75474.8,77885.7,85490.4,81739.4,69704.7,81112.6,79441.4,71310.3,67693.6,75556.0,67815.6,62255.5,62700.9,58519.7,55009.2,57833.2,55030.9,55949.7,52726.1,47756.3,47799.5
"덴마크",-,-,71820.9,82433.0,76517.6,78670.9,82598.8,79748.7,92928.7,83411.4,79455.9,76824.9,72662.5,74398.1,73871.2,79006.6,73060.1,68748.2,76500.4,71880.3,68291.4,65544.9,65857.5,60652.6,56058.8,57779.4,53608.9,50834.6,52906.2,50773.9,50726.0,46941.7,44483.8,45515.6
"스위스",-,-,54933.9,56818.3,56567.9,53980.3,52929.3,53818.4,54468.4,53252.2,54784.1,54585.8,53839.3,55364.3,53808.3,54870.4,55465.8,56089.9,55758.8,53817.0,55211.2,53726.3,55306.9,51186.3,52516.3,53361.8,49425.5,48903.5,49212.0,48245.1,46741.2,46470.5,43789.7,45135.7
"슬로바키아",-,-,73738.7,64343.4,58624.8,55242.9,52686.7,53180.0,52998.0,52819.7,52118.3,50854.3,48986.2,51256.6,49870.2,49973.5,50680.0,50666.3,50445.0,48699.4,49214.2,44955.4,45766.6,44839.9,42451.4,42131.2,40140.2,40869.6,41318.7,42419.3,42276.4,39955.7,37187.9,41226.5
"크로아티아",-,-,31454.2,24818.2,22932.6,22930.4,22015.0,22686.4,23180.1,24543.1,24667.9,25955.2,25653.7,26840.7,27906.9,29369.4,29386.5,29876.4,30283.9,31720.9,30767.5,28577.6,28171.1,27868.7,26113.1,24890.1,24157.2,24611.1,24833.9,25709.3,24601.0,24799.4,23906.8,24446.4
"리투아니아",-,-,48134.5,50100.7,31026.9,24901.8,23515.7,22486.0,23469.1,23021.5,23912.7,21098.3,19493.7,20266.2,20626.1,20792.9,21592.7,22439.8,22756.1,24730.0,23832.4,19826.1,20741.8,21104.5,21086.0,19954.6,19857.3,20155.1,20220.2,20344.9,20013.5,20244.6,20165.7,20251.5
"슬로베니아",-,-,18797.7,17447.8,17432.3,17667.8,18082.3,18863.3,19463.6,20003.9,19600.9,18985.9,18769.4,20040.6,20318.6,19987.8,20386.4,20643.3,20833.7,21020.4,21743.3,19566.6,19797.9,19716.0,19083.1,18382.0,16726.1,16912.5,17790.0,17870.4,17689.1,17204.8,15974.8,16106.5
"에스토니아",-,-,40276.4,37402.7,27215.5,21751.7,22225.0,20063.9,21007.7,20719.3,18992.0,17829.2,17453.3,17888.0,17300.1,19233.3,19362.3,19140.6,18490.1,22046.4,19941.8,16508.3,21111.6,21079.7,19962.9,21865.1,21040.8,17972.6,19603.1,20896.1,20030.1,14537.9,11407.1,12615.2
"라트비아",-,-,26022.7,24132.7,19362.0,15905.4,13958.3,12589.8,12639.3,12080.5,11576.4,10790.4,10167.8,10760.0,10728.0,10921.2,10862.7,11020.4,11489.4,11936.0,11475.4,10790.6,11857.9,11066.3,10884.3,10800.4,10712.6,10744.8,10742.1,10776.1,11272.3,11131.9,10483.1,10725.3
"룩셈부르크",-,-,12722.4,13353.3,13118.3,13281.4,12447.6,10078.5,10141.5,9494.7,8590.9,9051.3,9635.0,10137.3,10915.3,11366.8,12740.9,12993.8,12824.5,12236.3,12126.2,11584.2,12159.1,12040.5,11804.2,11281.3,10785.4,10313.9,10077.8,10259.7,10563.3,10740.0,9029.9,9390.7
"키프로스",-,-,5571.7,6076.4,6513.7,6800.6,7057.4,6972.2,7345.0,7439.0,7754.9,8032.3,8306.4,8247.8,8482.3,8874.1,9077.6,9222.4,9470.5,9803.7,10025.4,9790.0,9455.9,9158.5,8624.7,7920.2,8294.9,8343.3,8790.1,8966.1,8821.2,8891.6,8502.9,8670.0
"아이슬란드",-,-,3682.0,3475.8,3409.1,3496.4,3424.4,3554.7,3615.8,3774.5,3907.4,4123.1,4154.2,4049.7,4143.9,4106.9,4210.9,4059.3,4619.4,4924.3,5307.8,5001.5,4906.4,4692.3,4686.9,4694.7,4687.5,4772.7,4715.5,4799.7,4870.4,4723.9,4521.1,4662.2
"몰타",-,-,2626.4,2480.1,2513.1,3115.8,2894.1,2691.1,2781.8,2813.5,2787.7,2845.1,2749.7,3026.0,3046.8,3269.0,3176.1,2997.7,3052.2,3139.8,3019.9,2885.3,2962.3,2961.1,3126.3,2799.2,2807.2,2129.2,1847.0,2028.4,2037.8,2149.9,2111.9,2133.6
"리히텐슈타인",-,-,229.6,237.2,237.3,244.4,230.7,234.4,236.7,249.2,260.2,257.1,247.6,247.3,253.6,263.7,264.0,264.5,268.2,238.9,258.6,243.8,228.8,215.9,225.2,231.3,200.3,198.6,188.3,193.9,181.7,188.3,180.9,183.9
"모나코",-,-,102.5,103.3,109.0,108.1,108.8,105.4,109.2,107.9,107.0,108.2,106.3,106.7,107.1,104.1,98.9,97.7,93.3,93.1,93.8,90.2,87.8,86.3,89.1,91.1,85.2,88.2,86.4,83.3,86.7,83.0,69.8,73.6
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아프리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
