"국가",2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010
"국가",에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타
"독일",892179.68,73024.87,63456.55,26207.97,-,875824.75,71463.64,61258.86,24490.61,-,870547.29,75462.03,60681.55,22699.14,-,853172.19,77198.81,59802.12,20118.02,-,832818.94,74091.1,59623.26,18453.67,-,842704.62,74302.98,58506.35,16383.41,-,815734.61,75198.89,59063.36,14868.19,-,820512.83,71559.53,59423.92,13478.05,-,762431.16,64037.94,59768.2,12098.71,-,800319.92,61850.34,59355.48,10853.39,-
"그리스",99346.16,13797.29,9536.74,5050.84,-,99208.74,13972.48,9537.18,5000.78,-,103085.36,13832.39,9512.85,5138.4,-,103538.52,13989.37,9541.09,5146.09,-,107379.67,14774.73,9337.32,5256.42,-,106056.84,12522.41,9244.7,5446.76,-,108314.44,12924.49,9368.95,5247.51,-,105412.56,12712.42,9092.01,5264.95,-,100450.7,10977.42,8881.73,4951.54,-,93261.2,11433.79,9198.69,5266.27,-
"헝가리",58414.54,7859.86,6298.35,4612.22,-,57121.6,7339.59,6326.97,4690.48,-,59959.34,7499.03,6171.52,4737.8,-,57945.47,8161.54,6386.6,4698.44,-,57367.94,8848.04,6081.85,4657.06,-,56550.75,8484.12,6027.31,4598.12,-,55088.48,8323.48,6007.51,4591.37,-,54173.5,7223.81,6014.84,4542.45,-,49454.1,6219.13,5675.04,4576.22,-,49979.41,6402.32,5604.19,4547.85,-
"아이슬란드",2073.56,990.99,639.84,345.34,-,2183.49,978.95,622.73,358.74,-,2172.64,966.75,614.97,352.51,-,2271.49,974.79,608.97,355.66,-,2158.35,950.45,610.78,339.76,-,2221.71,1394.36,636.33,367.02,-,2363,1538.48,652.38,370.45,-,2234.88,2052.84,669.18,350.9,-,2137,1869.12,658.49,336.9,-,2026.7,1898.8,646.37,334.49,-
"아일랜드",44585.37,4485.06,20977.06,1766.97,-,43360.54,4002.29,20731.39,1880.98,-,44073.37,3427.09,21032.15,1935.89,-,43793.64,3623.79,20655.58,1650.02,-,45695.88,3905.75,20487.52,1442.32,-,45211.32,3840.27,20494.83,1473.04,-,45145.14,3900.62,19885.85,943.26,-,45252.19,3645.68,19653.81,778.75,-,40784.94,2803.9,19358.81,580.61,-,40455.36,2584.61,19427.95,564.24,-
"이탈리아",459033.67,40410.74,36859.87,25535.67,-,465911.79,40971.62,36165.84,24703.83,-,483732.71,43001.18,35958.98,24555.03,-,487546.43,46233.55,35226.11,23897.34,-,488285.08,47225.64,34628.61,24058.05,-,482438.09,44046.78,34121.39,23446.81,-,476544.27,44473.89,34760.49,23035.82,-,467744.69,42374.64,33694.37,22429.27,-,418440.76,37512.24,33128.24,22573.75,-,429903.67,38960.39,32224.53,22377.11,-
"라트비아",7869.83,314.18,1789.52,786.49,-,7868.73,332.38,1764.47,762.4,-,8035.64,353.67,1803.91,727.94,-,8061.71,379.48,1728.83,692.69,-,8175.87,367.15,1790.84,686.51,-,8603.57,418.48,1792.1,675.28,-,8936.99,439.49,1874.37,685.14,-,8474.34,449.88,1835.5,715.66,-,7765.09,448.85,1854.51,722.11,-,8532.39,741.89,1870.07,713.54,-
"리히텐슈타인",217.78,4.81,22.98,1.69,-,223.07,5.49,23.35,1.7,-,232.37,6.13,23.51,1.71,-,231.98,6.74,23.51,1.72,-,231.62,7.06,24.16,1.69,-,233.79,7.41,25.25,1.72,-,203.43,8.16,25.63,1.72,-,222.31,8.71,25.84,1.75,-,208.11,8.25,25.74,1.71,-,193.53,8.69,24.88,1.73,-
"리투아니아",11624.24,3078.45,3842.22,1721.27,-,11688.37,3235.2,3983.55,1718.95,-,11701.88,3309.73,4069.98,1711.34,-,12320.59,3476.57,4118.34,1677.22,-,13172.95,3504.06,4129.74,1633.04,-,13223.11,3803.64,4135.59,1593.77,-,13449.32,5442.82,4274.52,1563.37,-,13326.13,4865.59,4170.41,1470.29,-,12148.35,2005.49,4232.52,1439.77,-,13132.94,2006.95,4191.2,1410.68,-
"룩셈부르크",8645.3,702.64,672.78,116.54,-,9418.24,722.84,656.95,117.29,-,9944.09,670.96,629.17,122.54,-,11264.5,726.94,632.62,116.88,-,11547.18,698.46,629.92,118.27,-,11331.02,752.49,621.9,119.07,-,10732.95,748.44,633.91,120.97,-,10651.6,698.86,653.16,122.59,-,10179.09,628.73,654.02,122.33,-,10733.04,653.49,662.09,110.42,-
"몰타",2746.41,16.43,101.7,161.45,-,2757.09,19.96,100.83,168.91,-,2971.5,21.62,97.4,178.52,-,2859.35,27.93,101,187.8,-,2666.82,42.65,91.46,196.73,-,2676.65,80.49,90.05,205.04,-,2741.96,97.47,91.49,208.91,-,2699.68,113.01,88.95,118.26,-,2534.14,129.45,86.2,135.46,-,2611.85,141.62,85.05,123.81,-
"모나코",102.98,2.8,-,0.95,-,102.59,3.56,-,0.96,-,99.72,3.45,-,0.92,-,94.42,3.21,-,1.22,-,92.25,4.12,-,1.37,-,86.22,5.52,-,1.57,-,85.22,6.44,-,1.46,-,84.67,7.61,-,1.52,-,81.59,7.8,-,0.76,-,79.02,7.72,-,1.01,-
"네덜란드",173570.61,15893.87,20244.32,10874.4,-,172967.32,15959.9,18994.45,10334.86,-,176497.65,14167.36,18638.15,9690.67,-,177865.02,14878.89,18412.15,9322.94,-,173999.69,14779.17,18253.91,7634.18,-,169398.38,14615.46,18387.82,7122.1,-,169717.03,13450.75,18204.26,6705.81,-,173192.39,10165.16,18258.73,6325.13,-,168209.17,9806.66,18208.39,6076.51,-,179919.58,10389.72,18221.55,5705.79,-
"노르웨이",36036.28,12380.28,4666.88,2215.18,-,35895.1,11522,4648.89,2106.92,-,37165.5,10953.01,4726.95,2102.1,-,36945.13,11687.04,4687.85,2107.95,-,36540.98,11229.04,4696.65,2005.05,-,37402.02,10532.32,4605.66,2028.94,-,39141.8,10520.92,4594.47,2015.68,-,37888.36,10475.22,4579.3,1938.94,-,37916.74,8151.63,4571.2,1901.48,-,39514.96,8890.01,4494.27,2025.81,-
"폴란드",325632.23,20799.45,32615.28,13476,-,318365.13,19460.17,31664.66,12811.86,-,329719.38,22281.43,31190.86,12346.91,-,333975.19,23939.2,31251.47,11633.57,-,334317.08,23732.01,31659.42,11000.17,-,346972.09,26006.52,32148.73,10213.96,-,343730.09,28400.56,32843.79,9678.38,-,338729.65,27118.76,32939.52,9069.25,-,327237.6,21733.19,32256.88,8599.15,-,344423.02,22878.65,31659.66,8275.63,-
"포르투갈",60191.44,7253.22,7449.33,7045.96,-,64369.75,7501.05,7326.25,7197.91,-,59263.74,7624.56,7047.52,7363.32,-,61574.94,8340.81,7253.51,7351.31,-,63955.28,8378.19,6929.26,7226.48,-,59554.47,8082.52,6878.92,7133.56,-,56450.65,8912.97,6994.94,6966.9,-,54512.22,8694.64,6944.27,6749.38,-,53337.42,6958.51,6880.59,6633.59,-,48845.13,7392.32,6814.26,6478.15,-
